id,model1,model2,model3
2,0,0,0
3,0,0,0
16,0,0,0
17,0,0,0
32,0,1500,1500
33,0,0,0
34,0,0,0
35,0,0,0
38,0,0,0
39,0,0,0
46,0,0,1000
47,0,0,1000
48,0,0,0
49,0,0,0
60,0,0,0
61,0,0,0
72,0,0,0
73,0,0,0
90,0,0,0
91,0,0,1000
96,0,0,0
97,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
120,0,0,0
121,0,0,0
136,0,0,1500
137,0,0,1500
140,0,1000,1500
141,0,1000,1000
146,0,0,0
147,0,1000,1500
148,0,0,1000
149,0,1000,1000
166,0,0,0
167,0,0,0
182,0,0,0
183,0,0,0
190,0,0,0
191,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,1000,0
204,0,0,0
205,0,1500,1500
214,0,0,0
215,0,1000,2000
218,0,0,0
219,0,0,0
228,0,0,0
229,0,0,0
234,0,0,0
235,0,0,0
250,0,0,0
251,0,0,0
260,0,0,0
261,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,0,2000,0
277,0,0,0
278,0,0,0
279,0,0,0
286,0,0,0
287,0,0,0
290,0,1000,1000
291,0,1000,1000
298,0,0,0
299,0,0,0
304,0,0,0
305,0,0,0
308,0,1000,1000
309,0,0,0
310,0,0,2000
311,0,1000,1000
312,0,0,0
313,0,0,0
318,0,0,1000
319,0,0,0
320,0,0,1000
321,0,0,0
324,0,1000,1000
325,0,1000,1000
328,0,0,0
329,0,0,0
334,0,0,0
335,0,0,0
344,0,1000,0
345,0,0,0
348,0,1000,0
349,0,0,1000
358,0,0,0
359,0,0,0
362,0,0,0
363,0,0,0
376,0,0,0
377,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
394,0,0,0
395,0,1500,1500
396,0,1500,2000
397,0,0,1500
404,0,0,0
405,0,0,0
416,0,1000,1000
417,0,1000,1500
418,0,0,0
419,0,1000,0
420,0,0,0
421,0,0,0
424,0,0,0
425,0,0,0
432,0,0,0
433,0,0,0
442,0,0,0
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
460,0,0,0
461,0,0,0
462,0,0,1500
463,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
474,0,0,0
475,0,0,0
478,0,0,0
479,0,0,0
484,0,0,0
485,0,1000,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
498,0,0,0
499,0,0,0
500,0,0,1500
501,0,0,0
502,0,0,0
503,0,0,0
512,0,1000,0
513,0,0,0
526,0,0,0
527,0,2000,0
544,0,1000,0
545,0,0,0
550,0,1500,0
551,0,0,0
558,0,1000,0
559,0,0,0
562,0,0,0
563,0,0,0
570,0,0,0
571,0,0,0
574,0,0,0
575,0,0,0
578,0,0,0
579,0,0,0
582,0,1500,1500
583,0,0,0
586,0,1000,1000
587,0,2000,1500
588,0,0,0
589,0,0,0
592,0,0,0
593,0,0,0
594,0,1000,0
595,0,0,0
598,0,0,0
599,0,0,0
604,0,0,1000
605,0,0,0
608,0,0,0
609,0,0,0
610,0,0,0
611,0,0,0
614,0,0,0
615,0,0,0
618,0,1500,1500
619,0,0,1500
620,0,0,0
621,0,0,0
630,0,1000,1000
631,0,1000,1000
640,0,0,0
641,0,0,0
642,0,0,0
643,0,0,0
646,0,0,0
647,0,0,0
654,0,1500,1000
655,0,2000,1000
664,0,1000,1000
665,0,0,0
668,0,0,0
669,0,1000,1000
678,0,1500,1500
679,0,1500,1500
682,0,0,0
683,0,0,1000
684,0,1500,0
685,0,1500,1000
686,0,0,0
687,0,1500,2000
692,0,0,1000
693,0,0,0
710,0,1000,1000
711,0,0,0
728,0,2000,2000
729,0,2000,2000
730,0,1000,1000
731,0,0,1500
734,0,2000,0
735,0,0,0
736,0,0,0
737,0,0,0
738,0,0,1500
739,0,1500,1500
740,0,1000,1000
741,0,1000,1500
748,0,1000,1000
749,0,0,0
750,0,0,1000
751,0,1000,1000
758,0,0,0
759,0,0,0
766,0,0,0
767,0,1000,1000
776,0,0,0
777,0,0,0
788,0,1000,0
789,0,0,0
790,0,0,1500
791,0,0,0
798,0,1500,1000
799,0,2000,2000
804,0,0,0
805,0,0,0
808,0,0,0
809,0,0,0
810,0,0,0
811,0,0,0
830,0,1500,0
831,0,1000,1000
832,0,0,0
833,0,0,0
834,0,1000,1000
835,0,0,1500
842,0,0,0
843,0,0,0
846,0,1000,1000
847,0,1000,1000
848,0,1000,1000
849,0,2000,2000
850,0,0,0
851,0,1500,1500
852,0,0,0
853,0,0,0
854,2000,2000,2000
855,0,1500,1500
858,0,0,0
859,0,1000,1000
860,0,1000,1000
861,0,0,0
864,0,1000,1000
865,0,1000,0
868,0,1000,1000
869,0,1000,1000
902,0,1000,1000
903,0,0,0
914,0,1500,1500
915,0,1000,1500
922,0,0,0
923,0,1000,0
924,0,1000,0
925,0,1000,1000
934,0,1000,1000
935,0,1000,1000
938,0,1000,1000
939,0,1000,1000
942,0,1000,1000
943,0,1000,1000
944,0,1000,1500
945,0,1000,1000
950,0,1500,1500
951,0,2000,2000
952,0,0,0
953,0,0,0
954,0,2000,2000
955,0,2000,2000
956,0,0,0
957,0,0,0
960,0,0,0
961,0,0,0
974,0,1000,0
975,0,1500,1500
978,0,2000,0
979,0,2000,2000
980,0,0,0
981,0,0,0
982,0,0,2000
983,0,1000,1500
984,0,1500,0
985,0,0,0
992,0,0,0
993,0,0,0
994,0,0,0
995,0,0,0
1000,0,0,0
1001,0,0,0
1008,0,0,0
1009,0,0,0
1022,0,0,0
1023,0,0,0
1026,0,2000,2000
1027,0,1000,0
1038,0,0,0
1039,0,0,1000
1044,0,0,0
1045,0,1500,0
1046,0,0,0
1047,0,0,0
1048,0,0,0
1049,0,2000,1000
1052,0,0,0
1053,0,2000,1500
1058,0,0,0
1059,0,0,0
1060,0,0,0
1061,0,1500,0
1062,0,0,0
1063,0,0,0
1064,0,0,0
1065,0,0,0
1066,0,0,0
1067,0,1500,0
1068,0,0,0
1069,0,0,0
1074,0,0,0
1075,0,0,0
1078,0,0,0
1079,0,1500,1500
1080,0,0,0
1081,0,0,0
1088,0,0,0
1089,0,0,0
1092,0,0,0
1093,0,0,0
1096,0,0,0
1097,0,0,0
1120,0,0,0
1121,0,0,0
1128,0,0,0
1129,0,0,0
1130,0,0,0
1131,0,0,0
1134,0,0,0
1135,0,0,0
1140,0,0,0
1141,0,0,0
1144,0,0,0
1145,0,1500,1000
1150,0,0,0
1151,0,0,0
1152,0,0,0
1153,0,1000,2000
1156,0,0,1500
1157,0,2000,2000
1166,0,0,0
1167,0,0,0
1168,0,0,0
1169,0,0,0
1176,0,0,0
1177,0,0,0
1198,0,0,0
1199,0,2000,2000
1204,0,0,0
1205,0,1500,0
1206,0,0,0
1207,0,2000,0
1208,0,0,1000
1209,0,0,0
1210,0,0,0
1211,0,0,0
1212,0,0,0
1213,0,0,0
1214,0,0,0
1215,0,0,0
1216,0,0,0
1217,0,0,0
1220,0,0,0
1221,0,0,0
1224,0,0,0
1225,0,0,0
1232,0,0,2000
1233,0,2000,0
1240,0,0,0
1241,0,0,0
1246,0,0,0
1247,0,0,0
1252,0,0,0
1253,0,0,0
1256,0,0,0
1257,0,2000,2000
1268,0,2000,0
1269,0,1500,0
1270,0,0,0
1271,0,0,0
1272,0,0,0
1273,0,0,0
