id,money,college,score,num,order,consume,consumesum,consumeavg,consumemax,remaindersum,remainderavg,remaindermax,其他 ,图书馆,开水,教务处,文印中心,校医院,校车,洗衣房 ,淋浴,超市,食堂 ,zongji,engeer,time_stamp
0,0,9,1,2933,0.000340948,628,4997.56,7.833166144,200,42895.96,67.23504702,228.98,0,84.4,429.58,0,0.3,0,417.49,0,12.3,839.68,647.81,2431.56,0.266417444,-1
1,0,9,2,2933,0.000681896,687,6182.69,8.96042029,300,70664.31,102.4120435,302.41,0,324.2,265.97,29.3,96.4,0,119.4,25.02,22.5,514.3,1540.6,2937.69,0.524425654,1
8,0,6,1565,1570,0.996815287,1330,11472.37,8.625842105,200,117836.74,88.59905263,231.26,0,425.9,2440.94,0,2.6,0,2211.45,4.5,39.83,10,387.15,5522.37,0.07010577,-1
9,0,6,1570,1570,1,1618,14502.91,8.963479604,200,154265.92,95.34358467,237.96,122.26,113.73,4754.68,0,294.4,0,158.1,23.82,36.32,0,1899.6,7402.91,0.256601796,-1
10,0,3,1,2304,0.000434028,847,6028.74,7.084300823,200,52933.27,62.20125734,210.74,0,272.6,750.34,1.3,0,0,486.3,65.36,143.9,242.8,944.84,2907.44,0.324973172,3
11,0,3,2,2304,0.000868056,892,5976.2,6.699775785,200,72694.25,81.49579596,248.55,0,134.8,928.21,0,4,0,989.25,9.24,164.2,107.7,333.4,2670.8,0.124831511,-1
19,0,7,7,963,0.007268951,270,3331.06,12.20168498,221.5,19369.99,70.95234432,235.76,0,65.4,264.69,0,17.7,0,8.9,0,14.9,628.16,513.31,1513.06,0.339252905,10
20,0,7,356,963,0.369678089,663,6393.73,9.585802099,200,35565.91,53.3222039,206.32,0,40.7,700.86,43.6,0,0,150.73,4.9,34.1,679.8,1354.9,3009.59,0.450194213,13
21,0,7,381,963,0.395638629,261,3165.76,11.99151515,100,15508.18,58.74310606,137.22,0,96,288.51,0,0,0,209.5,0,13,356.2,622.55,1585.76,0.392587781,3
22,1000,8,1734,2830,0.612720848,923,11328.89,12.22102481,600,243511.61,262.6878209,619.62,0,294.1,1000.95,10,0.5,0,173.49,7.38,54.8,468.3,3074.37,5083.89,0.604727876,9
23,1500,8,2154,2830,0.761130742,1020,10959.76,10.72383562,600,226877.35,221.9934932,600.55,0,70.3,1073.39,45.4,45.2,0,448.9,4.26,113.1,315.1,3304.85,5420.5,0.609694678,7
28,1000,8,2245,2830,0.793286219,842,6401.58,7.513591549,100,39622.75,46.50557512,117.37,0,292.5,509.83,4.53,2.8,0,160.98,10.26,47,869.1,1244.58,3141.58,0.396163714,32
29,0,8,2247,2830,0.793992933,485,3845.78,7.722449799,300,44678.31,89.71548193,306.15,3,155.6,178.54,13.2,7.25,0,123.56,10.8,24.8,273.8,952.23,1742.78,0.54638566,38
36,0,8,2269,2830,0.801766784,1769,10576.95,5.965566836,200,122187.71,68.91579808,232.37,0,44.3,1149.48,22.21,12.1,0,217.41,30.76,84.89,522.56,3013.24,5096.95,0.591184924,9
37,0,8,2272,2830,0.802826855,1641,14349.76,8.733877054,200,154266.52,93.89319537,269.75,0,266.4,1275.8,19.3,6.65,0,536.3,36.48,103.3,1187.47,2459.1,5890.8,0.417447545,17
56,0,8,2365,2830,0.835689046,172,2102.8,12.2255814,300,16191.98,94.1394186,301.04,0,161.3,149.5,0,98.4,0,19.1,0,0,74.7,399.8,902.8,0.442844484,6
57,0,8,2376,2830,0.839575972,85,812.4,9.557647059,200,5557.9,65.38705882,205.64,0,6.7,80.4,0,6,0,42.7,3.6,0.6,146.4,126,412.4,0.305528613,4
62,0,8,2433,2830,0.859717314,563,5380.29,9.522637168,200,56645.08,100.2567788,224.58,0,65.4,195.78,0,12,0,116.15,8.76,58.54,1046.04,1097.62,2600.29,0.422114456,3
63,0,8,2442,2830,0.862897527,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,1500,8,2457,2830,0.86819788,1166,8519.63,7.269308874,200,100943.22,86.1290273,224.71,0,59.7,838.95,13.36,2.93,0,169.88,43.64,77.82,355,2626.15,4187.43,0.627150782,20
65,0,8,2468,2830,0.872084806,845,6609.66,7.794410377,200,85679.82,101.0375236,241.93,0,27.7,498.92,0,0.4,0,545.8,27.72,59.6,343.36,1871.16,3374.66,0.554473636,5
66,0,9,2864,2933,0.976474599,1421,9013.11,6.285292887,130,69095.41,48.18368898,132.9,7.5,80.5,1040.5,0,0.45,0,87.3,1.32,222,757.2,1740.34,3937.11,0.442034894,10
67,0,9,2865,2933,0.976815547,1364,10355.62,7.487794649,200,78709.14,56.9118872,274.74,0,133.4,645.47,12,80.05,0,1073.4,0,236.8,1645.7,566.8,4393.62,0.129005239,7
70,0,9,2872,2933,0.979202182,824,8103.42,9.716330935,100,39857.08,47.79026379,111.83,0,150.9,615.11,66.8,8.5,0,306.1,24.48,58,996.1,1649.23,3875.22,0.42558358,34
71,0,9,2873,2933,0.97954313,392,2943.28,7.508367347,100,16906.7,43.12933673,113.17,0,84.2,99.96,0,0.15,0,82.95,37.2,39.2,288.2,823.88,1455.74,0.565952711,18
74,0,9,2882,2933,0.98261166,1354,8762.43,6.447704194,200,64554.39,47.50139073,201.7,3.7,181,590.2,0.35,2.6,0,403.1,16.86,13.9,1001.3,2066.42,4279.43,0.482872719,32
75,0,9,2885,2933,0.983634504,1650,10247.03,6.202802663,200,92768.45,56.15523608,262.44,71.08,118,1108.26,0,1.95,0,1036.17,0,206.5,1050.7,1494.37,5087.03,0.2937608,30
76,0,9,2890,2933,0.985339243,975,11467.33,11.7133095,200,160506.37,163.9493054,611.66,0.8,281.4,223.97,0,4.7,0,73.46,30.9,33.2,3827.4,861.5,5337.33,0.161410293,2
77,0,9,2895,2933,0.987043982,645,10303.31,15.90016975,200,125821.6,194.1691358,556.87,0,440.9,171.22,2,85,0,35.3,10.74,78.4,3624.3,295.45,4743.31,0.062287727,5
82,0,9,2906,2933,0.990794408,783,4061.63,5.187266922,200,42625.75,54.4390166,202,0,12.7,475.16,0,27.8,0,235.5,0,82.99,119.7,1044.68,1998.53,0.522724202,20
83,0,9,2907,2933,0.991135356,541,4943,8.987272727,200,42526.9,77.32163636,244.12,15,95,563.33,12,44.55,0,262.98,7.5,63,437.86,681.48,2182.7,0.312218812,19
88,0,9,2916,2933,0.994203887,1194,11589.9,9.65825,200,97697.23,81.41435833,225.45,0,459.6,612.55,86.2,1,0,222.5,0,45.9,1139.4,3077.75,5644.9,0.545226665,22
89,0,9,2923,2933,0.996590522,575,5196.54,8.990553633,100,42550.52,73.61681661,143.14,0,3.9,394.69,0,3,0,674.8,0,42.4,789,658.75,2566.54,0.256668511,-1
92,1000,9,2926,2933,0.997613365,898,6200.14,6.843421634,300,104161.36,114.9683885,327.33,0,25.4,697.03,22.5,0.7,0,35.48,33.06,38.9,458.6,1738.47,3050.14,0.569964002,6
93,1000,9,2927,2933,0.997954313,1086,9919.71,9.017918182,500,187427.01,170.3881909,515.62,0,139.5,788.24,8.5,9.25,0,349.4,55.74,197.6,1018.04,1786.7,4352.97,0.41045539,6
98,0,9,2932,2933,0.999659052,1244,8594.55,6.848247012,200,109561.95,87.30035857,208,0,45.4,1513.62,10,13.9,0,84.86,9.6,36.5,784.2,1725.59,4223.67,0.408552278,22
99,1000,9,2933,2933,1,1148,8206.18,7.148240418,400,115133.52,100.2905226,401.38,7,253.5,1045.53,0,33,0,463.2,24.06,61.8,1209.93,908.16,4006.18,0.226689764,92
112,0,5,9,2775,0.003243243,804,5979.94,7.437736318,200,46016.91,57.23496269,207.61,1.8,32.1,1431.43,0,19.5,0,1066.3,0,54.6,31.5,392.71,3029.94,0.129609827,-1
113,0,5,10,2775,0.003603604,554,4198.03,7.57767148,100,31189.11,56.29803249,137.14,0,10.5,1185.81,0,0.3,0,273.66,18,199.36,84.5,375.9,2148.03,0.174997556,-1
118,0,5,15,2775,0.005405405,1650,12097.97,7.33210303,300,112530.31,68.20018788,314.43,0,153.9,4283.81,0,7.8,0,984.26,11.9,153.1,0,503.2,6097.97,0.082519265,1
119,0,5,16,2775,0.005765766,973,9261.57,9.518571429,400,103575.99,106.4501439,400.76,0,25.4,2729.17,15,3,0,655.4,48.3,115.7,183.8,635.8,4411.57,0.144121027,-1
138,1000,5,297,2775,0.107027027,1683,10803.34,6.419096851,300,94830.11,56.34587641,307.28,0,93.8,3080.5,0,0,3,1533.49,3,4.9,49.4,605.25,5373.34,0.112639438,-1
139,0,5,398,2775,0.143423423,1198,10514.11,8.776385643,300,96629.98,80.65941569,315.65,0,311.85,2525.13,0,22.8,1,1089.05,3.6,182.36,252.6,865.72,5254.11,0.164770056,-1
142,0,9,1123,2933,0.382884419,582,5040.66,8.660927835,200,41538.71,71.37235395,233.93,4,28.9,477.75,41,24.9,0,230.6,7.32,78.5,606.28,1011.41,2510.66,0.402846264,38
143,0,9,1124,2933,0.383225367,1138,8758.71,7.683078947,200,72590.86,63.67619298,204.06,0,260.7,644.07,68,79.15,0,357.6,91.48,210.9,837.7,1806.11,4355.71,0.414653409,44
152,0,6,533,1570,0.339490446,1910,11800.87,6.178465969,300,207306.8,108.5375916,351.47,14,20.7,3554.55,0,0,0,1568.41,36.2,232.76,3.1,421.15,5850.87,0.071980748,-1
153,0,6,608,1570,0.387261146,1736,13706.72,7.895576037,300,237620.3,136.878053,315.87,243.82,151,3213.76,14.5,36.85,0,2206.7,0,186.39,87.2,716.5,6856.72,0.104496027,1
154,0,6,609,1570,0.387898089,2133,12310.95,5.771659634,100,121396.75,56.91361932,140.86,1.5,47.95,4516.52,3.6,11.8,0,1046.41,17,59.52,229.2,277.45,6210.95,0.044671105,-1
155,0,6,610,1570,0.388535032,1859,12033.66,6.473189887,115.77,101793.73,54.75725121,128.29,0,101.75,3657.55,0,16.3,0,953.66,15.48,171.08,274.9,726.4,5917.12,0.122762425,-1
158,0,6,611,1570,0.389171975,966,6436.93,6.649721074,200,65316.14,67.47535124,202.58,0,286.8,1081.07,0,0,0,131.5,86,96.56,620.4,844.6,3146.93,0.268388556,51
159,0,6,612,1570,0.389808917,1731,10981.76,6.344170999,200,94806.18,54.76960139,209.12,0,39.05,2723.45,0,13.85,0,1777.45,43.08,360.18,136,437.7,5530.76,0.079139214,4
160,1000,6,613,1570,0.39044586,837,6652.94,7.929606675,300,85913.01,102.3992968,331.39,0,107,949.87,6.5,8.6,0,664.9,28.2,187.4,440.42,890.05,3282.94,0.271113697,8
161,1000,6,614,1570,0.391082803,913,7987.81,8.748970427,200,81922.99,89.72945235,256.97,0,168.67,1465.22,0,22.1,0,920.2,24.24,437.8,10.6,1008.7,4057.53,0.248599517,-1
162,0,6,615,1570,0.391719745,1567,8827.08,5.611621106,200,115435.87,73.3858042,216.64,0,183.7,1300.21,0,4.7,0,207.83,50.64,132.51,847.9,1704.59,4432.08,0.384602715,77
163,0,6,616,1570,0.392356688,835,6666.63,7.983988024,200,75007.67,89.82954491,226.83,0,72.73,1294.33,0,15.6,0,1459.6,40.06,23.01,127.4,133.9,3166.63,0.0422847,1
172,0,6,625,1570,0.398089172,575,6539.85,11.37365217,300,63731.38,110.8371826,319.02,0,159.9,1425.62,18,5.9,0,1229,28,34.2,70.2,249.03,3219.85,0.077342112,-1
173,0,6,626,1570,0.398726115,140,2343.8,16.74142857,300,14592,104.2285714,300.14,0,18,444.2,0,10.8,0,440.5,0,50.5,51.2,28.6,1043.8,0.027399885,-1
178,0,6,631,1570,0.401910828,1295,13196.65,10.19046332,300,123402.33,95.29137452,309.56,4,97.2,2623.09,0,364.1,5,2166.8,31.3,305.73,2.25,1112.18,6711.65,0.165708879,1
179,0,6,632,1570,0.402547771,498,4720.35,9.478614458,200,43730.96,87.81317269,225.49,0,130.02,974.56,0,8.1,0,632.1,0,74.62,118.4,442.55,2380.35,0.185918037,6
184,0,3,911,2304,0.395399306,1457,10034.19,6.868028747,600,240650.37,164.7162012,601.45,0,438.3,936.6,46,16,0,463.29,35.34,101.23,576.6,2091.01,4704.37,0.444482471,94
185,0,3,912,2304,0.395833333,1629,11055.04,6.786396562,300,130392.79,80.04468386,304.73,0,77.3,2477.4,35,13.5,17,2150.85,49.86,79.08,303.4,309.85,5513.24,0.056201072,4
186,1000,3,913,2304,0.396267361,1617,8078.19,4.986537037,200,182691.71,112.7726605,294.7,0,115,807.38,1.45,0,0,129.6,69.48,75.5,857.8,1816.94,3873.15,0.469111705,77
187,0,3,914,2304,0.396701389,3388,13476.55,3.977730224,100,281491.6,83.08488784,195.8,0,239.58,3681.96,0,13,0,1352.96,66.48,440.1,299.2,684.27,6777.55,0.100961262,4
192,0,3,919,2304,0.398871528,950,8716.14,9.174884211,300,134329.06,141.3990105,322.86,0,11.13,2799.68,0,0,0,678.63,4,704.3,4.4,192.6,4394.74,0.043825118,-1
193,0,3,920,2304,0.399305556,955,8127.78,8.510764398,300,117940.01,123.4973927,319.8,0,34.8,2268.85,0,0.3,0,929,36,119.6,33.2,606.03,4027.78,0.150462538,1
194,0,3,921,2304,0.399739583,926,8910.16,9.622203024,200,86408.7,93.31393089,237.72,0.3,29.6,2071.85,0,0,0,1434.56,0,22.3,138.9,542.65,4240.16,0.127978661,2
195,0,3,922,2304,0.400173611,597,6388.17,10.70045226,200,53193.05,89.10058626,209.21,0,121.59,1604.47,0,41,0,905.8,10.8,162.01,67.4,355.1,3268.17,0.108654079,-1
198,0,3,925,2304,0.401475694,480,5605.15,11.67739583,200,35541.57,74.0449375,202.22,0,46.75,1372.03,28,53.96,276,605.2,0,73.6,9.6,360.21,2825.35,0.127492169,4
199,0,3,926,2304,0.401909722,328,4107.55,12.52301829,200,28615.25,87.24161585,257.16,0,73.7,810.45,0,0.6,316,526.4,0,83.9,4,192.5,2007.55,0.095888023,3
206,0,3,934,2304,0.405381944,953,5041.44,5.290073452,100,36182.46,37.96690451,118.78,1.5,29.3,1783.14,0,18.5,0,492.4,0,88.6,1,127,2541.44,0.04997167,-1
207,0,3,935,2304,0.405815972,341,2794.31,8.194457478,138.79,20271.14,59.44615836,156.3,0,12.3,866.87,0,0,0,243.5,3.66,18.1,0,164.1,1308.53,0.1254079,-1
212,0,4,951,2416,0.393625828,1253,11169.14,8.906810207,300,111466.44,88.88870813,304.07,0,293.5,871.89,0,3.7,0,347.18,0,74.1,1987.8,1970.97,5549.14,0.355184767,103
213,0,4,952,2416,0.394039735,1025,9522.31,9.23599418,300,98067.68,95.11899127,390.92,0,101.5,318.73,23,270,0,213.27,7.2,112.7,1621.8,2089.11,4757.31,0.439136823,36
216,0,4,955,2416,0.395281457,1749,15832.48,9.02649943,700,690112.31,393.4505758,879.03,0.47,55.9,1464.37,0,20.5,0,96.85,46.8,202.5,2414.4,3615.69,7917.48,0.45667182,33
217,0,4,956,2416,0.395695364,1123,9794.59,8.675456156,700,356407,315.683791,779.64,0,67.6,605.02,6.8,29.8,0,163.7,188.58,360,2290.2,786.65,4498.35,0.174875232,1
220,2000,4,959,2416,0.396937086,1172,7049.88,5.974474576,300,74310.32,62.97484746,302.72,0,3,1048.6,0,1.3,0,86.5,10.26,86.2,533.5,1729.12,3498.48,0.494248931,7
221,2000,4,964,2416,0.399006623,87,663.85,7.63045977,100,3974.56,45.6845977,108.2,0,19,55.1,0,8,0,17.7,0,54.8,9.1,130.15,293.85,0.442913051,2
224,0,4,967,2416,0.400248344,521,2911.09,5.555515267,100,18802.05,35.88177481,115.29,0,0,344.44,30.2,6.2,0,145.9,0,17.3,183.1,718.95,1446.09,0.497168226,1
225,0,4,968,2416,0.400662252,497,2881.55,5.7631,100,15099.01,30.19802,113.29,0,0,241.88,0,0.85,0,319.85,0,14.2,138.54,638.23,1353.55,0.471523032,15
230,0,4,974,2416,0.403145695,2749,15839.17,5.761793379,300,318169.91,115.7402364,302.58,0,52.2,2123.62,1.5,0.6,0,201,99.78,345.9,1495.27,3486.98,7806.85,0.446656462,53
231,0,4,975,2416,0.403559603,2284,14870.48,6.502177525,500,308276.38,134.795094,500.27,0,576.2,957.65,69.18,171.4,0,177.5,133.14,446.8,1027.2,3873.75,7432.82,0.521168278,57
232,1000,4,976,2416,0.40397351,944,7208.52,7.579936909,200,57772.85,60.74957939,203,0,77.3,390.37,21.1,0,0,104.6,18.3,46.9,938.67,1885.28,3482.52,0.541355111,22
233,0,4,977,2416,0.404387417,927,7863.22,8.374036209,200,52469.71,55.87828541,205.61,0,235.5,480.46,13.1,4.15,0,40.4,25.2,46.6,960.42,1807.39,3613.22,0.500215874,22
236,0,4,980,2416,0.405629139,1145,9915.1,8.5475,100,67414.22,58.1157069,125.65,0,9.8,535.21,25.65,0.12,0,222.7,25.2,66.3,1377.8,2342.32,4605.1,0.508636077,6
237,0,4,983,2416,0.406870861,1010,9045.64,8.876977429,200,56836.99,55.77722277,206.8,0,43.6,419.08,0,9.85,0,284.9,112.74,155.7,641.5,2406.47,4073.84,0.590712939,-1
238,1000,4,984,2416,0.407284768,1582,11641.4,7.344731861,800,217106.99,136.9760189,862,22,478,1002.92,0,10,0,220.4,73.14,128.17,989.4,2378.57,5302.6,0.448566741,133
239,0,4,985,2416,0.407698675,1493,10419.41,6.974170013,800,273246.96,182.8962249,804.98,0,334.9,818.61,6,31.75,0,236.74,79.92,123.94,1018.8,2873.75,5524.41,0.520191296,119
244,1000,4,991,2416,0.410182119,1093,4842.72,4.426617916,100,38715.63,35.3890585,117,0.03,217.4,265.42,0,0,0,391.1,72.78,87.2,262,1131.79,2427.72,0.466194619,56
245,1000,4,992,2416,0.410596026,461,2988.46,6.482559653,100,21187.49,45.95984816,118.1,0,176.9,89.27,30,6.4,0,50.9,3.06,52.1,277.2,747.63,1433.46,0.521556235,84
254,0,1,283,370,0.764864865,1422,9081.58,6.350755245,300,149821.25,104.7701049,318.3,0,79.1,1046.5,60.56,6.8,0,223.76,84.58,89.77,897.52,1789.87,4278.46,0.418344451,8
255,0,1,284,370,0.767567568,1283,7436.73,5.769379364,200,101208.48,78.51705198,196.19,0,194.2,504.44,0,25.45,0,114.9,116.1,199.7,643.7,1808.24,3606.73,0.50135164,-1
258,0,1,285,370,0.77027027,1104,8536.44,7.662872531,200,61140.77,54.88399461,218.37,0,146.3,1118.23,14,2.2,0,240.8,65.16,141.05,1752.7,789.78,4270.22,0.184950658,7
259,0,1,286,370,0.772972973,767,5441.59,7.012358247,100,32607.57,42.02006443,140.14,0,237.3,464.33,0,23.2,0,78.9,90.66,141.8,1326.2,294.2,2656.59,0.110743472,7
266,0,1,291,370,0.786486486,306,2066.15,6.752124183,200,20058.18,65.54960784,200.11,0,130.3,147.93,63.72,17.7,0,44.5,6.3,8,161.34,356.36,936.15,0.380665492,72
267,0,1,292,370,0.789189189,1269,7820.93,6.148529874,200,71382.23,56.11810535,202.28,0,410.2,335.04,29.5,21.9,0,166.8,38.1,126.2,691.1,2077.09,3895.93,0.533143563,13
282,0,19,951,2305,0.412581345,1559,22586.34,14.39537285,200,138246.53,88.11123646,246.87,0,36.3,1574.32,1.8,20.76,0,609.15,36.22,49.71,3456.3,3386.78,9171.34,0.369278644,37
283,0,19,1001,2305,0.434273319,696,10064.15,14.15492264,200,48793.5,68.62658228,208.58,69.44,71.2,421.08,0,1.35,0,155.1,50.28,23,1734.1,1883.7,4409.25,0.427215513,9
288,0,19,1250,2305,0.542299349,2098,15505.51,7.38357619,300,255752.45,121.786881,320.25,0,0,2324.05,4,13.6,0,422.63,174.48,76.8,1911.6,2640.75,7567.91,0.34894046,1
289,0,19,1299,2305,0.563557484,1606,18350.35,11.33437307,300,225852.19,139.5010439,337.52,0,322,2637.57,0.6,1.05,0,456.95,260.88,80.4,3140.8,2067.3,8967.55,0.230531193,-1
294,0,19,1321,2305,0.573101952,1554,11275.52,7.246478149,500,157232.31,101.0490424,505.7,0,154.7,1127.93,0,74.9,3.6,230.34,27.7,19.9,1258.09,2541.44,5438.6,0.467296731,45
295,0,19,1322,2305,0.573535792,1074,8611.64,7.936995392,200,90975.79,83.84865438,213.43,0,111.3,432.42,5.6,39.2,0,214.4,0,17.4,823,2518.32,4161.64,0.605126825,27
296,1500,19,1323,2305,0.573969631,1810,11235.49,6.180137514,200,182067.02,100.1468757,273,0.01,19.4,1178.39,15,3.9,0,216.8,126.22,15.7,1111.91,2819.02,5506.35,0.511958012,16
297,2000,19,1324,2305,0.574403471,1435,10482.59,7.284635163,200,89124.09,61.9347394,208.09,0,37.9,948.16,11.5,22.85,0,308.15,111.48,50,482.6,2912.35,4884.99,0.596183411,140
300,0,19,1327,2305,0.575704989,1943,22565.75,11.4314843,200,131355.09,66.54259878,218.47,0,446.7,2743.72,6.5,2,0,106.15,49.38,72.08,4233.9,2942.72,10603.15,0.27753262,121
301,0,19,1328,2305,0.576138829,1616,21047.77,12.93655194,300,118231.7,72.66853104,302.73,0,768.61,2451.39,17,106.75,0,54.9,21.48,10.2,4107.72,2609.22,10147.27,0.25713517,46
306,0,19,1333,2305,0.578308026,440,3151.24,7.129502262,169.49,19633.73,44.42020362,169.49,0,61,339.73,0,7.8,0,114.8,6.24,8.3,328.6,515.79,1382.26,0.373149769,20
307,0,19,1334,2305,0.578741866,796,5876.87,7.355281602,200,58856.28,73.66242804,235.75,0,177.92,516.87,21.9,21.7,0,231.7,13.38,3.02,358.37,1328.11,2672.97,0.496866781,53
